Address|Price(MX$)|Bedrooms|Bathrooms|Size(m2)|Latitud|Longitud
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|6500|2|1.0|59|19.430267800000003|-99.1373136
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|14000|2|2.0|60|19.430267800000003|-99.1373136
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|8500|2|1.0|72|19.430267800000003|-99.1373136
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|4500|2|1.0|61|19.430267800000003|-99.1373136
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|9000|2|1.0|65|19.430267800000003|-99.1373136
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|7000|1|1.0|71|19.430267800000003|-99.1373136
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|4500|2|1.0|61|19.430267800000003|-99.1373136
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|6500|2|1.0|59|19.430267800000003|-99.1373136
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|14000|2|2.0|60|19.430267800000003|-99.1373136
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|8500|2|1.0|72|19.430267800000003|-99.1373136
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|4500|2|1.0|61|19.430267800000003|-99.1373136
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|9000|2|1.0|65|19.430267800000003|-99.1373136
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|7000|1|1.0|71|19.430267800000003|-99.1373136
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|4500|2|1.0|61|19.430267800000003|-99.1373136
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|6500|2|1.0|59|19.430267800000003|-99.1373136
  Avenida 14 25, Venustiano Carranza, Distrito Federal (cdmx)|15500|3|2.0|127|19.4125026|-99.0967503
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|14000|2|2.0|60|19.430267800000003|-99.1373136
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|8500|2|1.0|72|19.430267800000003|-99.1373136
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|4500|2|1.0|61|19.430267800000003|-99.1373136
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|9000|2|1.0|65|19.430267800000003|-99.1373136
