Address|Price(MX$)|Bedrooms|Bathrooms|Size(m2)
  Calzada Desierto De Los Leones 4373, Tetelpan, Álvaro Obregón, Distrito Federal (cdmx)|23000|2|2.0|115
  Versalles 33, Juárez, Cuauhtémoc, Distrito Federal (cdmx)|22000|2|2.0|110
  Calzada De Tlalpan 1434, Portales Oriente, Benito Juárez, Distrito Federal (cdmx)|18000|2|2.0|90
  Popocatépetl 000, Xoco, Benito Juárez, Distrito Federal (cdmx)|22000|2|2.0|83
  Bucareli 128, Zona Centro, Cuauhtémoc, Distrito Federal (cdmx)|38810|3|2.0|310
  Ejercito Nacional 453, 200, Ampliación Granada, Miguel Hidalgo, Distrito Federal (cdmx)|35000|3|3.0|115
  Luz Saviñon 206, Del Valle, Benito Juárez, Distrito Federal (cdmx)|25000|2|2.0|110
  Calzada México Tacuba 1501, Argentina Poniente, Miguel Hidalgo, Distrito Federal (cdmx)|9500|2|1.0|58
  Eugenia 606, Del Valle Centro, Benito Juárez, Distrito Federal (cdmx)|24500|2|2.0|68
  Retorno Arrecife 15, Las Águilas, Álvaro Obregón, Distrito Federal (cdmx)|9500|2|1.0|75
  Paseo De La Reforma 439, Cuauhtémoc, Cuauhtémoc, Distrito Federal (cdmx)|65000|1|2.0|120
  Laguna De Mayrán 375, Colonia Anahuac I Sección, Miguel Hidalgo, Distrito Federal (cdmx)|19000|2|2.0|82
  Adolfo Lopez Mateos 5146, Pedregal De Carrasco, Coyoacán, Distrito Federal (cdmx)|23000|2|2.0|104
  General Emiliano Zapata 360, Santa Cruz Atoyac, Benito Juárez, Distrito Federal (cdmx)|16000|2|2.0|78
  Toltecas 166, Carola, Álvaro Obregón, Distrito Federal (cdmx)|11000|3|2.0|70
  Av Centenario 1762, Ciudad De México, Distrito Federal (cdmx)|16500|1|1.0|50
  Romulo Oarril 520, Colonia Olivar De Los Padres, Álvaro Obregón, Distrito Federal (cdmx)|16500|2|2.0|77
  Iglesia 270, Tizapan, Álvaro Obregón, Distrito Federal (cdmx)|29000|3|2.0|130
  Av. De Las Torres 805, 407, Torres De Potrero, Álvaro Obregón, Distrito Federal (cdmx)|18000|2|2.0|70
  Presa Falcón 243, Ph1, Ampliación Granada, Miguel Hidalgo, Distrito Federal (cdmx)|50000|2|3.0|220
  En Renta Excelente Departamento En Privada De Tamarindos 29, Bosques De Las Lomas, Cuajimalpa De Morelos, Distrito Federal, Bosques De Las Lomas, Cuajimalpa De Morelos|26000|2|2.0|160
  Av Sta Fe 482, Santa Fe Cuajimalpa, Cuajimalpa De Morelos|22000|1|2.0|87
  Paseo De La Reforma 77, Tabacalera, Cuauhtémoc, Distrito Federal (cdmx)|32750|1|2.0|99
  Ave. San Bernabe 655, San Jerónimo Lídice, Ciudad De México|16000|2|2.0|110
  Tomas Alva Edison 101, Tabacalera, Cuauhtémoc, Distrito Federal (cdmx)|22000|2|2.0|100
  Av. Carlos Lazo 100, San Mateo Tlaltenango, Cuajimalpa De Morelos|78000|3|4.0|320
  Prol. Paseo De La Reforma 100, Santa Fe, Álvaro Obregón, Distrito Federal (cdmx)|17500|2|2.0|65
  Prolong. Bosques De Reforma 1455, 202, Bosques De Las Lomas, Cuajimalpa De Morelos|45000|3|4.0|420
  Dr. Barragan 850, Narvarte, Benito Juárez, Distrito Federal (cdmx)|22500|3|2.0|117
  Ejercito Nacional 1, Colonia Anahuac I Sección, Miguel Hidalgo, Distrito Federal (cdmx)|26300|2|2.0|95
  Javier Barros Sierra 245, Lomas De Santa Fe, Ciudad De México|29000|3|3.0|145
  Ramos Millan 49, 0, Américas Unidas, Benito Juárez, Distrito Federal (cdmx)|25000|3|3.0|164
  Av. Toluca 669 Olivar De Los Padres, Álvaro Obregón, Distrito Federal (cdmx)|16500|2|2.0|83
  Cacahuatales 20, Gabriel Ramos Millán, Iztacalco|10500|2|1.0|60
  Lago Alberto 300, Colonia Anahuac I Sección, Miguel Hidalgo, Distrito Federal (cdmx)|26000|2|2.0|93
  Lomas De Sotelo 1120, Edificio C - 302, Lomas De Sotelo, Miguel Hidalgo, Distrito Federal (cdmx)|14000|3|3.0|100
  Calz Tlalpan 2971, Coyoacán, Distrito Federal (cdmx)|20000|4|3.0|129
  Sinaloa No. 179 Roma Norte, Roma Norte, Cuauhtémoc, Distrito Federal (cdmx)|21000|2|2.0|70
