Address|Price(MX$)|Bedrooms|Bathrooms|Size(m2)
"Departamento en Renta Departamento En Renta En Carrimon De 3 Recamaras, Bosques De Las Lomas
, Bosques De Las Lomas, Cuajimalpa De Morelos"|50,000 MX$|3|3|290m2
"Departamento en Renta Adolfo Prieto #1033, 402
, Del Valle, Benito Juárez, Distrito Federal (cdmx)"|30,000 MX$|2|3|116m2
Departamento en Renta Tiztik 9 Teotihuacan, Ciudad De México, Distrito Federal (cdmx)|14,500 MX$|2|2|130m2
"Departamento en Renta Av. Cuauhtémoc #997, 5
, Narvarte, Benito Juárez, Distrito Federal (cdmx)"|19,900 MX$|2|2|105m2
"Departamento en Renta Avenida Mexico Coyoacan #0
, Xoco, Benito Juárez, Distrito Federal (cdmx)"|18,500 MX$|2|2|80m2
Departamento en Renta Avenida Mariano Escobedo, Esquina Con Lago Alberto, Colonia Anáhuac, 11490 Ciudad De México, Cdmx, Miguel Hidalgo, Distrito Federal (cdmx)|30,000 MX$|2|2|110m2
"Departamento en Renta Departamento En Renta En Aquario Con 2 Recamaras En Interlomas.
, Jesús Del Monte, Cuajimalpa De Morelos"|23,500 MX$|2|1|140m2
"Departamento en Renta Jose Moran #00
, San Miguel Chapultepec, Miguel Hidalgo, Distrito Federal (cdmx)"|32,000 MX$|2|2|150m2
"Departamento en Renta Zurich #272
, Ampliación Granada, Miguel Hidalgo, Distrito Federal (cdmx)"|46,000 MX$|3|4|162m2
"Departamento en Renta Cda. De Guillermo Prieto #38
, Jesús Del Monte, Cuajimalpa De Morelos"|15,000 MX$|2|3|134m2
"Departamento en Renta Departamento En Renta En Bosques De Las Lomas De 3 Recamaras, Cdmx
, Bosques De Las Lomas, Cuajimalpa De Morelos"|46,000 MX$|3|3|292m2
"Departamento en Renta León Trotsky #58, 58
, Romero Rubio, Venustiano Carranza, Distrito Federal (cdmx)"|4,800 MX$|2|1|50m2
"Departamento en Renta Pennsylvania #229, 101
, Nápoles, Benito Juárez, Distrito Federal (cdmx)"|20,500 MX$|2|2|98m2
Departamento en Renta Lago Alberto 320, Miguel Hidalgo, Distrito Federal (cdmx)|38,000 MX$|3|3|156m2
Departamento en Renta Tarasco 52 Interior Depto 801, Edificio “n”, Colonia Degollado, Delegación Iztapalapa, Ciudad De Mexico, Desarrollo Urbano Quetzalcoatl, Ciudad De México|4,000 MX$|2|1|50m2
Departamento en Renta 1, Acacias, Benito Juárez, Distrito Federal (cdmx)|30,000 MX$|4|2|1m2
"Departamento en Renta Angel Urraza #1839
, Independencia, Benito Juárez, Distrito Federal (cdmx)"|17,500 MX$|2|2|75m2
"Departamento en Renta Arquimedes #200
, Polanco, Miguel Hidalgo, Distrito Federal (cdmx)"|27,000 MX$|2|1|60m2
"Departamento en Renta Jesus Del Monte #0, 0
, Jesús Del Monte, Cuajimalpa De Morelos"|22,000 MX$|2|2|100m2
"Departamento en Renta Blvd Adolfo Lopez Mateos #1951
, Los Alpes, Álvaro Obregón, Distrito Federal (cdmx)"|15,000 MX$|1|2|60m2
"Departamento en Renta Paseo De Laureles #410
, Bosques De Las Lomas, Miguel Hidalgo, Distrito Federal (cdmx)"|38,000 MX$|3|4|323m2
"Departamento en Renta Capricornio #73
, Prado Churubusco, Coyoacán, Distrito Federal (cdmx)"|14,000 MX$|3|3|102m2
"Departamento en Renta Adolfo Prieto #1033, 102
, Del Valle, Benito Juárez, Distrito Federal (cdmx)"|30,000 MX$|3|2|136m2
"Departamento en Renta Eje Central #1130
, San Simon Ticumac, Benito Juárez, Distrito Federal (cdmx)"|14,500 MX$|2|1|70m2
"Departamento en Renta Departamento De 2 Niveles En Renta En Magna Residencial, Santa Fe.
, El Yaqui, Cuajimalpa De Morelos"|30,715 MX$|2|2|120m2
"Departamento en Renta Arquimedes #191
, Polanco, Miguel Hidalgo, Distrito Federal (cdmx)"|29,000 MX$|2|2|167m2
"Departamento en Renta Independencia #1
, Tizapan, Álvaro Obregón, Distrito Federal (cdmx)"|13,500 MX$|2|2|97m2
"Departamento en Renta Popocatepetl #00x
, Santa Cruz Atoyac, Benito Juárez, Distrito Federal (cdmx)"|19,000 MX$|2|2|85m2
"Departamento en Renta Camino Real De Minas #17
, Lomas De Los Angeles Del Pueblo Tetelpan, Álvaro Obregón, Distrito Federal (cdmx)"|20,000 MX$|2|3|150m2
"Departamento en Renta Cofre De Perote #220
, Lomas De Chapultepec, Miguel Hidalgo, Distrito Federal (cdmx)"|59,000 MX$|3|4|298m2
"Departamento en Renta Calzada Desierto De Los Leones #4054, Ph 1
, Atlamaya, Álvaro Obregón, Distrito Federal (cdmx)"|42,000 MX$|3|5|158m2
Departamento en Renta Insurgentes Norte 57 Esquina Hamburgo, Departamento 9, Colonia Juarez, Benito Juárez, Distrito Federal (cdmx)|22,000 MX$|4|2|140m2
Departamento en Renta Paseo De La Reforma 284, Ciudad De México, Distrito Federal (cdmx)|22,000 MX$|1|1|78m2
"Departamento en Renta Rafael Solana #5
, Independencia, Benito Juárez, Distrito Federal (cdmx)"|13,200 MX$|2|2|70m2
"Departamento en Renta Atenas #3
, Lomas De Padierna, Tlalpan, Distrito Federal (cdmx)"|3,600 MX$|2|1|42m2
"Departamento en Renta Ibsen #0
, Polanco, Miguel Hidalgo, Distrito Federal (cdmx)"|184,347.5 MX$|4|5|470m2
Departamento en Renta Prolongación Paseo De La Reforma 200, Paseo De Las Lomas, Álvaro Obregón, Distrito Federal (cdmx)|12,000 MX$|1|2|113m2
"Departamento en Renta Thomas A Edison #139
, San Rafael, Cuauhtémoc, Distrito Federal (cdmx)"|15,000 MX$|2|1|65m2
"Departamento en Renta Enrique Rebsamen #227
, Del Valle, Benito Juárez, Distrito Federal (cdmx)"|20,000 MX$|2|2|120m2
"Departamento en Renta Carretera Mexico Toluca #5095
, El Yaqui, Cuajimalpa De Morelos"|14,500 MX$|1|1|40m2
"Departamento en Renta Barranca Del Muerto #212
, San José Insurgentes, Benito Juárez, Distrito Federal (cdmx)"|18,500 MX$|2|2|70m2
"Departamento en Renta Paseo De Las Bugambilias #1000, 00
, Bosques De Las Lomas, Cuajimalpa De Morelos"|90,000 MX$|3|4|395m2
"Departamento en Renta Elefante #93
, Del Valle Sur, Benito Juárez, Distrito Federal (cdmx)"|42,000 MX$|3|5|300m2
"Departamento en Renta Amores #1609
, Del Valle Centro, Benito Juárez, Distrito Federal (cdmx)"|18,000 MX$|2|2|96m2
"Departamento en Renta Cofré De Perote #0, 0
, Lomas De Chapultepec Viii Sección, Miguel Hidalgo, Distrito Federal (cdmx)"|60,000 MX$|3|4|250m2
"Departamento en Renta Guanajuato #85
, San Bartolo Atepehuacan, Gustavo A. Madero"|14,000 MX$|3|2|105m2
"Departamento en Renta Barranca Del Muerto #1
, San José Insurgentes, Benito Juárez, Distrito Federal (cdmx)"|25,000 MX$|3|4|147m2
Departamento en Renta Avenida Toluca 441, Colonia Olivar De Los Padres, Álvaro Obregón, Distrito Federal (cdmx)|13,000 MX$|2|2|75m2
"Departamento en Renta Santa Cruz Cacalco #25, 601 ""a""
, Miguel Hidalgo, Distrito Federal (cdmx)"|8,750 MX$|1|1|63m2
"Departamento en Renta Ingenieros Grabadores #11
, Jardines De Churubusco, Iztapalapa"|9,000 MX$|3|1|84m2
Departamento en Renta Av Revolución 1400, Guadalupe Inn, Álvaro Obregón, Distrito Federal (cdmx)|20,000 MX$|2|2|75m2
Departamento en Renta 11 De Abril 177 303 A, Ciudad De México, Distrito Federal (cdmx)|12,500 MX$|2|1|120m2
"Departamento en Renta Montecito #57
, Nápoles, Benito Juárez, Distrito Federal (cdmx)"|25,000 MX$|1|2|90m2
"Departamento en Renta Ave Revolucion #1062, 302
, San José Insurgentes, Benito Juárez, Distrito Federal (cdmx)"|17,000 MX$|2|2|80m2
"Departamento en Renta Av. Veracruz #62
, Colonia Condesa, Cuauhtémoc, Distrito Federal (cdmx)"|52,000 MX$|2|2|128m2
"Departamento en Renta Adolfo Prieto #1033, 101
, Del Valle, Benito Juárez, Distrito Federal (cdmx)"|26,500 MX$|3|2|117m2
"Departamento en Renta Santa Fe #1
, Santa Fe, Álvaro Obregón, Distrito Federal (cdmx)"|72,000 MX$|3|4|240m2
"Departamento en Renta Montecito #57
, Ampliación Napoles, Benito Juárez, Distrito Federal (cdmx)"|25,000 MX$|1|2|90m2
"Departamento en Renta Paseo De Las Palmas #515
, Lomas De Reforma, Miguel Hidalgo, Distrito Federal (cdmx)"|110,000 MX$|2|3|250m2
"Departamento en Renta Jose Ma. Vertiz #1
, Vertiz Narvarte, Benito Juárez, Distrito Federal (cdmx)"|18,000 MX$|1|1|60m2
"Departamento en Renta Granjas #38
, Cuajimalpa De Morelos, Distrito Federal (cdmx)"|14,800 MX$|2|1|74m2
"Departamento en Renta Departamento En Renta En Bosques De Las Lomas Con 2 Recamaras.
, Bosques De Las Lomas, Cuajimalpa De Morelos"|40,000 MX$|2|2|250m2
Departamento en Renta Camino A Santa Fe 1231, Santa Fe, Álvaro Obregón, Distrito Federal (cdmx)|11,500 MX$|2|1|100m2
"Departamento en Renta Prolongación Paseo De La Reforma #367
, Cuajimalpa De Morelos, Distrito Federal (cdmx)"|19,000 MX$|2|2|97m2
"Departamento en Renta Calzada Del Hueso #621
, Granjas Coapa, Tlalpan, Distrito Federal (cdmx)"|11,000 MX$|3|1|86m2
"Departamento en Renta Division Del Norte #3526
, Coyoacán, Distrito Federal (cdmx)"|17,000 MX$|2|2|89m2
"Departamento en Renta Paseo De Las Palmas #800
, Lomas De Chapultepec, Miguel Hidalgo, Distrito Federal (cdmx)"|194,050 MX$|2|3|620m2
"Departamento en Renta Ing. Grabadores #11
, Jardines De Churubusco, Iztapalapa"|9,000 MX$|3|1|84m2
"Departamento en Renta Inglaterra #105, 1er Piso
, Parque San Andres, Coyoacán, Distrito Federal (cdmx)"|16,000 MX$|1|2|80m2
"Departamento en Renta Estrasburgo #0
, Juárez, Cuauhtémoc, Distrito Federal (cdmx)"|17,000 MX$|2|1|60m2
"Departamento en Renta Periférico Sur #4860, 5
, Xochimilco, Distrito Federal (cdmx)"|20,000 MX$|2|2|85m2
Departamento en Renta Calzada México-tacuba 1501, Distrito Federal (cdmx)|10,500 MX$|2|1|58m2
"Departamento en Renta Lago Zurich #272, 810
, Ampliación Granada, Miguel Hidalgo, Distrito Federal (cdmx)"|46,000 MX$|3|5|162m2
Departamento en Renta Av Anacahuita 26, Distrito Federal (cdmx)|67,917.5 MX$|2|1|20m2
"Departamento en Renta Cerrada De Tamarindos #0, 0
, Bosques De Las Lomas, Cuajimalpa De Morelos"|33,000 MX$|3|4|218m2
"Departamento en Renta Rubén Darío #275
, Polanco, Miguel Hidalgo, Distrito Federal (cdmx)"|145,537.5 MX$|2|3|390m2
"Departamento en Renta Peral #26
, Santa Maria La Ribera, Cuauhtémoc, Distrito Federal (cdmx)"|12,500 MX$|2|2|67m2
"Departamento en Renta Providencia #1000
, Del Valle, Benito Juárez, Distrito Federal (cdmx)"|16,000 MX$|2|2|86m2
Departamento en Renta Gómez Farias 23a, Bejero, 01340 Ciudad De México, Álvaro Obregón, Distrito Federal (cdmx)|Desde				4,500 MX$|6|1|9m2
"Departamento en Renta Sur 79 #353
, Venustiano Carranza, Distrito Federal (cdmx)"|5,500 MX$|1|1|48m2
"Departamento en Renta General Pedro Antonio De Los Santos #0, 203
, San Miguel Chapultepec, Miguel Hidalgo, Distrito Federal (cdmx)"|17,000 MX$|3|2|110m2
"Departamento en Renta Avenida Tecamachalco #31
, Reforma Social, Miguel Hidalgo, Distrito Federal (cdmx)"|25,500 MX$|1|1|65m2
"Departamento en Renta Suderman #1, 3
, Polanco, Miguel Hidalgo, Distrito Federal (cdmx)"|55,000 MX$|2|2|140m2
"Departamento en Renta Periferico Sur #4091
, Tlalpan, Distrito Federal (cdmx)"|5,500 MX$|1|1|132m2
"Departamento en Renta Lago Margarita #34
, Granada, Miguel Hidalgo, Distrito Federal (cdmx)"|20,500 MX$|2|2|68m2
"Departamento en Renta Calle Lago Zurich #245
, Colonia Irrigación, Miguel Hidalgo, Distrito Federal (cdmx)"|70,000 MX$|2|3|120m2
"Departamento en Renta Ph En Renta De 2 Niveles En Polanco, Miguel Hidalgo, Cdmx
, Polanco, Miguel Hidalgo, Distrito Federal (cdmx)"|106,727.5 MX$|3|3|250m2
"Departamento en Renta Goldsmith #37
, Polanco, Miguel Hidalgo, Distrito Federal (cdmx)"|75,000 MX$|3|4|180m2
"Departamento en Renta Víctor Hugo #17, 401
, Portales Oriente, Benito Juárez, Distrito Federal (cdmx)"|10,000 MX$|2|1|80m2
Departamento en Renta Reforma 222, Juárez, Cuauhtémoc, Distrito Federal (cdmx)|28,000 MX$|1|2|75m2
"Departamento en Renta Prolongacion Ocote #64
, Cuajimalpa De Morelos, Distrito Federal (cdmx)"|8,950 MX$|2|2|64m2
"Departamento en Renta Lago Alberto #300, 710
, Colonia Anahuac I Sección, Miguel Hidalgo, Distrito Federal (cdmx)"|19,800 MX$|1|1|52m2
Departamento en Renta Plaza Rio De Janeiro 56, Cuauhtémoc, Cuauhtémoc, Distrito Federal (cdmx)|19,200 MX$|2|1|80m2
"Departamento en Renta Xicohténcatl #137
, Colonia Del Carmen, Coyoacán, Distrito Federal (cdmx)"|10,000 MX$|1|1|65m2
"Departamento en Renta Anillo Perif. Blvd. Adolfo López Mateos #5146
, Coyoacán, Distrito Federal (cdmx)"|28,000 MX$|2|2|105m2
"Departamento en Renta Siete #190
, Coyoacán, Distrito Federal (cdmx)"|15,800 MX$|3|2|110m2
"Departamento en Renta Homero #246
, Polanco, Miguel Hidalgo, Distrito Federal (cdmx)"|87,322.5 MX$|3|3|280m2
"Departamento en Renta Avenida Mariano Escobedo, Lago Iseo Esquina #0
, Cuauhtémoc, Distrito Federal (cdmx)"|30,000 MX$|2|2|94m2
"Departamento en Renta Lago Alberto #321
, Colonia Anahuac I Sección, Miguel Hidalgo, Distrito Federal (cdmx)"|19,850 MX$|1|1|55m2
"Departamento en Renta Av. Revolución #1
, San José Insurgentes, Benito Juárez, Distrito Federal (cdmx)"|21,000 MX$|2|2|103m2
"Departamento en Renta Peten #543, 4
, Letrán Valle, Benito Juárez, Distrito Federal (cdmx)"|18,000 MX$|3|2|103m2
Departamento en Renta Paseo De La Reforma 222, Distrito Federal (cdmx)|33,000 MX$|2|2|120m2
"Departamento en Renta Palo Alto #73
, Cuajimalpa De Morelos, Distrito Federal (cdmx)"|14,000 MX$|2|2|65m2
Departamento en Renta Río Nazas #152, Ciudad De México, Distrito Federal (cdmx)|19,000 MX$|2|2|100m2
Departamento en Renta Prolongación Avenida Vasco De Quiroga 3850, Cuajimalpa De Morelos, Distrito Federal (cdmx)|20,000 MX$|2|2|91m2
"Departamento en Renta Guaymas #33
, Roma Norte, Cuauhtémoc, Distrito Federal (cdmx)"|18,000 MX$|3|2|95m2
"Departamento en Renta Manuel Avila Camacho #166, 102
, Lomas De Chapultepec, Miguel Hidalgo, Distrito Federal (cdmx)"|19,500 MX$|2|2|140m2
"Departamento en Renta Moras #1254
, Álvaro Obregón, Distrito Federal (cdmx)"|14,000 MX$|1|1|20m2
"Departamento en Renta Encarnación Ortiz #1860
, Azcapotzalco, Distrito Federal (cdmx)"|13,000 MX$|2|2|65m2
"Departamento en Renta Manuel Avila Camacho #166, 102
, Lomas De Chapultepec, Miguel Hidalgo, Distrito Federal (cdmx)"|19,500 MX$|2|2|80m2
"Departamento en Renta Paseo De La Reforma #439
, Cuauhtémoc, Distrito Federal (cdmx)"|89,000 MX$|2|2|180m2
"Departamento en Renta Inglaterra #105
, Parque San Andres, Coyoacán, Distrito Federal (cdmx)"|16,000 MX$|1|1|80m2
"Departamento en Renta Indianapolis #4
, Nápoles, Benito Juárez, Distrito Federal (cdmx)"|22,500 MX$|2|2|64m2
"Departamento en Renta Palo Alto #73
, Cuajimalpa De Morelos, Distrito Federal (cdmx)"|17,000 MX$|2|2|75m2
"Departamento en Renta Sagredo #253
, Álvaro Obregón, Distrito Federal (cdmx)"|19,980 MX$|1|1|36m2
"Departamento en Renta Av. Cuauhtémoc #1
, Del Valle, Benito Juárez, Distrito Federal (cdmx)"|20,200 MX$|2|1|69m2
"Departamento en Renta Avenida Revolucion #000
, San José Insurgentes, Benito Juárez, Distrito Federal (cdmx)"|19,000 MX$|2|2|103m2
"Departamento en Renta Av Cuauhtemoc #514
, Narvarte, Benito Juárez, Distrito Federal (cdmx)"|15,000 MX$|2|2|62m2
"Departamento en Renta Campos Elíseos #1
, Polanco, Miguel Hidalgo, Distrito Federal (cdmx)"|50,000 MX$|3|3|274m2
"Departamento en Renta Av. Del Iman #141, 3
, Insurgentes Cuicuilco, Coyoacán, Distrito Federal (cdmx)"|12,000 MX$|2|1|70m2
Departamento en Renta San Guillermo Lote 1 Mz 19 Col. Pedregal De Santa Ursula, Ciudad De México, Distrito Federal (cdmx)|Desde				4,000 MX$|1|1|12m2
"Departamento en Renta Inglaterra #105
, Parque San Andres, Coyoacán, Distrito Federal (cdmx)"|16,000 MX$|1|1|80m2
"Departamento en Renta Inglaterra #105
, Parque San Andres, Coyoacán, Distrito Federal (cdmx)"|16,000 MX$|1|1|80m2
Departamento en Renta Privada Veracruz 13, Cuajimalpa De Morelos, Distrito Federal (cdmx)|15,500 MX$|3|3|166m2
"Departamento en Renta Tlálpan #1461
, Portales Oriente, Benito Juárez, Distrito Federal (cdmx)"|12,500 MX$|2|2|70m2
"Departamento en Renta Plaza Valverde #60
, Álvaro Obregón, Distrito Federal (cdmx)"|29,400 MX$|3|2|117m2
"Departamento en Renta Ibsen #00
, Polanco, Miguel Hidalgo, Distrito Federal (cdmx)"|45,000 MX$|2|2|170m2
"Departamento en Renta Departamento En Renta En Via Santa Fe Con 2 Recamaras
, Álvaro Obregón, Distrito Federal (cdmx)"|23,000 MX$|2|2|97m2
"Departamento en Renta Pedro Romero De Terreros #730
, Del Valle, Benito Juárez, Distrito Federal (cdmx)"|24,000 MX$|3|3|110m2
"Departamento en Renta Av Mexico #321
, Coyoacán, Distrito Federal (cdmx)"|26,000 MX$|2|2|86m2
"Departamento en Renta Camino A Santa Fe #1231, 302
, Álvaro Obregón, Distrito Federal (cdmx)"|11,000 MX$|2|1|80m2
"Departamento en Renta Edgar Allan Poe #0
, Polanco, Miguel Hidalgo, Distrito Federal (cdmx)"|76,649.75 MX$|2|3|170m2
"Departamento en Renta Emerson #1
, Polanco, Miguel Hidalgo, Distrito Federal (cdmx)"|37,000 MX$|2|2|191m2
"Departamento en Renta Viaducto Tlalpan #000, 000
, Tlalpan, Distrito Federal (cdmx)"|14,300 MX$|3|3|123m2
"Departamento en Renta 3 Picos #12
, Polanco, Miguel Hidalgo, Distrito Federal (cdmx)"|97,025 MX$|3|3|250m2
"Departamento en Renta Coyoacan #0
, Del Valle Centro, Benito Juárez, Distrito Federal (cdmx)"|23,000 MX$|2|2|140m2
"Departamento en Renta Ph En Renta De 2 Niveles En Polanco.
, Polanco, Miguel Hidalgo, Distrito Federal (cdmx)"|45,000 MX$|3|2|305m2
"Departamento en Renta Río Sena #67, 203
, Cuauhtémoc, Distrito Federal (cdmx)"|29,000 MX$|2|2|100m2
"Departamento en Renta Paseo De La Reforma #222
, Cuauhtémoc, Distrito Federal (cdmx)"|45,000 MX$|2|2|125m2
Departamento en Renta Av. Santa Fe 449, Loma De Santa Fe, Cuajimalpa De Morelos|4,000,000 MX$|3|2|173m2
"Departamento en Renta Lago Neuchatel #10
, Ampliación Granada, Miguel Hidalgo, Distrito Federal (cdmx)"|28,500 MX$|3|2|125m2
"Departamento en Renta Lope De Vega #237
, Polanco, Miguel Hidalgo, Distrito Federal (cdmx)"|30,000 MX$|1|1|70m2
"Departamento en Renta Lago Alberto #32o, 25
, Granada, Miguel Hidalgo, Distrito Federal (cdmx)"|35,000 MX$|3|2|150m2
"Departamento en Renta San Camilo #26, 702
, Tlalpan, Distrito Federal (cdmx)"|10,000 MX$|2|1|55m2
"Departamento en Renta Cuitláhuac #94
, Gustavo A. Madero, Distrito Federal (cdmx)"|12,000 MX$|3|2|95m2
Departamento en Renta Constituyente Amilcar Vidal 149, Lomas De Memetla, Distrito Federal (cdmx)|8,000 MX$|1|1|65m2
"Departamento en Renta Arneses #10
, Iztapalapa, Distrito Federal (cdmx)"|11,000 MX$|3|1|81m2
"Departamento en Renta Juan Sanchez Azcona #1426, 104
, Del Valle Sur, Benito Juárez, Distrito Federal (cdmx)"|17,000 MX$|1|1|80m2
"Departamento en Renta Eugenio Sue #0
, Polanco, Miguel Hidalgo, Distrito Federal (cdmx)"|66,000 MX$|2|3|170m2
"Departamento en Renta Azalea #152
, La Magdalena Contreras, Distrito Federal (cdmx)"|11,500 MX$|2|2|140m2
"Departamento en Renta Azalea #152
, La Magdalena Contreras, Distrito Federal (cdmx)"|11,500 MX$|2|2|140m2
"Departamento en Renta Cardos #6
, Tlalpan, Distrito Federal (cdmx)"|5,500 MX$|3|1|64m2
"Departamento en Renta Horacio #1609, 1001
, Polanco, Miguel Hidalgo, Distrito Federal (cdmx)"|25,000 MX$|3|2|130m2
"Departamento en Renta Adolfo Prieto #125
, Del Valle, Benito Juárez, Distrito Federal (cdmx)"|26,000 MX$|3|3|165m2
"Departamento en Renta Homero #0, 9
, Polanco, Miguel Hidalgo, Distrito Federal (cdmx)"|40,000 MX$|3|2|190m2
"Departamento en Renta Campos Elíseos #0
, Polanco, Miguel Hidalgo, Distrito Federal (cdmx)"|126,132.5 MX$|3|4|213m2
"Departamento en Renta Juarez Y Zarco # 12
, Cuajimalpa De Morelos, Distrito Federal (cdmx)"|15,000 MX$|2|2|60m2
"Departamento en Renta Prolongacion Paseo De La Reforma #307, 4
, Lomas De Santa Fe, Álvaro Obregón, Distrito Federal (cdmx)"|21,000 MX$|2|2|74m2
Departamento en Renta Pablo Ucello 51, Ciudad De México, Distrito Federal (cdmx)|16,600 MX$|2|2|110m2
"Departamento en Renta Río Sena #67, 203 A
, Cuauhtémoc, Distrito Federal (cdmx)"|27,000 MX$|2|2|100m2
"Departamento en Renta Lago Constanza #27
, Granada, Miguel Hidalgo, Distrito Federal (cdmx)"|20,500 MX$|2|2|68m2
"Departamento en Renta Azalea #152
, La Magdalena Contreras, Distrito Federal (cdmx)"|13,500 MX$|2|2|140m2
Departamento en Renta Sagredo 253 Colonia Guadalupe Inn, Guadalupe Inn, Álvaro Obregón, Distrito Federal (cdmx)|43,176.13 MX$|2||43m2
Departamento en Renta Periferico Sur 4091, Ciudad De México, Distrito Federal (cdmx)|12,000 MX$|4|3|120m2
"Departamento en Renta General Pedro Antonio De Los Santos #0, 204
, San Miguel Chapultepec, Miguel Hidalgo, Distrito Federal (cdmx)"|17,000 MX$|3|2|150m2
"Departamento en Renta Eugenio Sue #200
, Polanco, Miguel Hidalgo, Distrito Federal (cdmx)"|65,000 MX$|3|3|208m2
Departamento en Renta Moliere 340 B Polanco M. Hidalgo Cdmx, Polanco, Miguel Hidalgo, Distrito Federal (cdmx)|30,000 MX$|2|1|110m2
"Departamento en Renta Francisco Petrarca #139
, Polanco, Miguel Hidalgo, Distrito Federal (cdmx)"|87,322.5 MX$|3|3|177m2
"Departamento en Renta Coahuila #159
, Roma Norte, Cuauhtémoc, Distrito Federal (cdmx)"|32,000 MX$|2|2|150m2
"Departamento en Renta Cardos #6
, Tlalpan, Distrito Federal (cdmx)"|5,500 MX$|3|1|64m2
"Departamento en Renta Anatole France #0
, Polanco, Miguel Hidalgo, Distrito Federal (cdmx)"|54,334 MX$|2|3|210m2
Departamento en Renta Insurgentes Sur 297, Ciudad De México, Distrito Federal (cdmx)|24,000 MX$|3|2|115m2
"Departamento en Renta Cardos #6
, Tlalpan, Distrito Federal (cdmx)"|5,500 MX$|3|1|64m2
"Departamento en Renta Canalito #1
, Progreso Tizapan, Álvaro Obregón, Distrito Federal (cdmx)"|13,000 MX$|2|1|68m2
"Departamento en Renta Paseo De Las Palmas #800
, Lomas De Chapultepec, Miguel Hidalgo, Distrito Federal (cdmx)"|62,096 MX$|1|2|230m2
"Departamento en Renta Eugenio Sue #0, Pb
, Polanco, Miguel Hidalgo, Distrito Federal (cdmx)"|108,000 MX$|3|4|250m2
Departamento en Renta Tekit 189-16, Colonia Heroes De Padierna, Tlalpan, Distrito Federal (cdmx)|6,500 MX$|2|1|60m2
"Departamento en Renta Salamanca #0
, Roma Norte, Cuauhtémoc, Distrito Federal (cdmx)"|14,500 MX$|1|1|35m2
"Departamento en Renta Rancho Calichan #51, A-402
, Tlalpan, Distrito Federal (cdmx)"|10,000 MX$|2|1|86m2
Departamento en Renta Parroquia 411, Benito Juárez, Distrito Federal (cdmx)|21,000 MX$|3|2|110m2
"Departamento en Renta Prolongación División Del Norte #4134, 1c
, Tlalpan, Distrito Federal (cdmx)"|12,000 MX$|2|1|84m2
"Departamento en Renta Yaquis #1
, Tlalpan, Distrito Federal (cdmx)"|7,500 MX$|2|1|72m2
"Departamento en Renta Paseo De Las Palmas #800
, Lomas De Chapultepec, Miguel Hidalgo, Distrito Federal (cdmx)"|97,025 MX$|3|4|360m2
"Departamento en Renta Lago Como #128, 504
, Miguel Hidalgo, Distrito Federal (cdmx)"|11,000 MX$|2|2|66m2
Departamento en Renta Camino Antiguo Santa Fe, Numero 55, Corpus Christy, Álvaro Obregón, Distrito Federal (cdmx)|4,200 MX$|2|2|70m2
Departamento en Renta Lomas De Becerra Edif 7 Dep 1, Álvaro Obregón, Distrito Federal (cdmx)|Desde				9,000 MX$|2|1|73m2
"Departamento en Renta Cholula #20, 301 Y 502
, Miguel Hidalgo, Distrito Federal (cdmx)"|29,000 MX$|3|2|110m2
Departamento en Renta Nelly Campobello 129, Álvaro Obregón, Distrito Federal (cdmx)|9,000 MX$|2|2|73m2
"Departamento en Renta Patricio Sanz #1357
, Tlacoquemecatl, Benito Juárez, Distrito Federal (cdmx)"|28,000 MX$|3|4|152m2
Departamento en Renta Sagredo 253 Colonia Guadalupe Inn, Guadalupe Inn, Álvaro Obregón, Distrito Federal (cdmx)|23,615.89 MX$|1||27m2
"Departamento en Renta Uman #11
, Tlalpan, Distrito Federal (cdmx)"|8,500 MX$|3|1|80m2
"Departamento en Renta Av. F.f.cc. Nacionales #1940
, Azcapotzalco, Distrito Federal (cdmx)"|7,800 MX$|2|1|60m2
"Departamento en Renta Ruben Dario #35
, Polanco, Miguel Hidalgo, Distrito Federal (cdmx)"|242,562.5 MX$|3|4|429m2
"Departamento en Renta Encinos #65
, Tlalpan, Distrito Federal (cdmx)"|11,500 MX$|2|2|90m2
"Departamento en Renta Edgar Allan Poe #0
, Polanco, Miguel Hidalgo, Distrito Federal (cdmx)"|76,649.75 MX$|2|3|170m2
Departamento en Renta Calle Lago Zurich 245, Delegación Miguel Hidalgo, 11529 Ciudad De México, Cdmx, Miguel Hidalgo, Distrito Federal (cdmx)|30,000 MX$|3|3|145m2
"Departamento en Renta Villalongin #82
, Cuauhtémoc, Distrito Federal (cdmx)"|18,500 MX$|2|2|95m2
"Departamento en Renta Moras #1254
, Álvaro Obregón, Distrito Federal (cdmx)"|28,000 MX$|2|2|45m2
"Departamento en Renta Lamartine #0, 501
, Polanco, Miguel Hidalgo, Distrito Federal (cdmx)"|25,000 MX$|3|2|120m2
"Departamento en Renta Sierra Gorda #23
, Lomas De Chapultepec, Miguel Hidalgo, Distrito Federal (cdmx)"|174,645 MX$|3|4|353m2
Departamento en Renta Ejército Nacional 225, Ciudad De México, Distrito Federal (cdmx)|23,000 MX$|2|2|104m2
Departamento en Renta Calle Pitágoras 284, Benito Juárez, Distrito Federal (cdmx)|19,405 MX$|1|1|71m2
"Departamento en Renta Arquimedes #196, 2
, Polanco, Miguel Hidalgo, Distrito Federal (cdmx)"|36,000 MX$|3|3|200m2
