Address|Price(MX$)|Bedrooms|Bathrooms|Size(m2)|Latitud|Longitud|Coordinates|Distance
  Avenida General Ignacio Zaragoza Al 500, Venustiano Carranza, Distrito Federal (cdmx)|8500|3|1.0|70|19.4211744|-99.1226981|19.421174399999998,-99.1226981|1.6145157525825793 km
  Lago Zurich 219, Granada, Miguel Hidalgo, Distrito Federal (cdmx)|36500|2|3.0|118|19.442115|-99.20408929999999|19.442115,-99.2040893|8.173626640555126 km
  Calzada De Las Brujas 304, Villa Coapa, Tlalpan, Distrito Federal (cdmx)|10000|3|1.0|80|19.2974339|-99.1222877|19.297433899999998,-99.1222877|12.612473476341851 km
  Calle 28 De Diciembre Col. Emiliano Zapata, Coyoacàn, Coyoacán, Distrito Federal (cdmx)|13500|2|2.0|80|19.3264826|-99.1371429|19.3264826,-99.1371429|9.348559437167893 km
  Santa. Fe, Álvaro Obregón,penthouse 406, Álvaro Obregón, Distrito Federal (cdmx)|42000|2|3.0|270|19.386392800000007|-99.2255625|19.386392800000003,-99.2255625|10.035002363836337 km
  Ferrocarril Hidalgo 1404, Villa Gustavo A. Madero, Gustavo A. Madero|8000|2|1.0|60|19.4807018|-99.10792990000002|19.480701800000002,-99.10792990000002|8.186135575265414 km
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|14000|2|2.0|60|19.430267800000006|-99.1373136|19.430267800000003,-99.1373136|2.183255959808334 km
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|8500|2|1.0|72|19.430267800000006|-99.1373136|19.430267800000003,-99.1373136|2.183255959808334 km
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|4500|2|1.0|61|19.430267800000006|-99.1373136|19.430267800000003,-99.1373136|2.183255959808334 km
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|9000|2|1.0|65|19.430267800000006|-99.1373136|19.430267800000003,-99.1373136|2.183255959808334 km
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|7000|1|1.0|71|19.430267800000006|-99.1373136|19.430267800000003,-99.1373136|2.183255959808334 km
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|4500|2|1.0|61|19.430267800000006|-99.1373136|19.430267800000003,-99.1373136|2.183255959808334 km
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|6500|2|1.0|59|19.430267800000006|-99.1373136|19.430267800000003,-99.1373136|2.183255959808334 km
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|14000|2|2.0|60|19.430267800000006|-99.1373136|19.430267800000003,-99.1373136|2.183255959808334 km
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|8500|2|1.0|72|19.430267800000006|-99.1373136|19.430267800000003,-99.1373136|2.183255959808334 km
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|4500|2|1.0|61|19.430267800000006|-99.1373136|19.430267800000003,-99.1373136|2.183255959808334 km
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|9000|2|1.0|65|19.430267800000006|-99.1373136|19.430267800000003,-99.1373136|2.183255959808334 km
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|7000|1|1.0|71|19.430267800000006|-99.1373136|19.430267800000003,-99.1373136|2.183255959808334 km
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|4500|2|1.0|61|19.430267800000006|-99.1373136|19.430267800000003,-99.1373136|2.183255959808334 km
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|6500|2|1.0|59|19.430267800000006|-99.1373136|19.430267800000003,-99.1373136|2.183255959808334 km
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|14000|2|2.0|60|19.430267800000006|-99.1373136|19.430267800000003,-99.1373136|2.183255959808334 km
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|8500|2|1.0|72|19.430267800000006|-99.1373136|19.430267800000003,-99.1373136|2.183255959808334 km
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|4500|2|1.0|61|19.430267800000006|-99.1373136|19.430267800000003,-99.1373136|2.183255959808334 km
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|9000|2|1.0|65|19.430267800000006|-99.1373136|19.430267800000003,-99.1373136|2.183255959808334 km
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|7000|1|1.0|71|19.430267800000006|-99.1373136|19.430267800000003,-99.1373136|2.183255959808334 km
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|4500|2|1.0|61|19.430267800000006|-99.1373136|19.430267800000003,-99.1373136|2.183255959808334 km
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|6500|2|1.0|59|19.430267800000006|-99.1373136|19.430267800000003,-99.1373136|2.183255959808334 km
  Avenida 14 25, Venustiano Carranza, Distrito Federal (cdmx)|15500|3|2.0|127|19.4125026|-99.0967503|19.4125026,-99.0967503|3.87182222578308 km
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|14000|2|2.0|60|19.430267800000006|-99.1373136|19.430267800000003,-99.1373136|2.183255959808334 km
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|8500|2|1.0|72|19.430267800000006|-99.1373136|19.430267800000003,-99.1373136|2.183255959808334 km
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|4500|2|1.0|61|19.430267800000006|-99.1373136|19.430267800000003,-99.1373136|2.183255959808334 km
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|9000|2|1.0|65|19.430267800000006|-99.1373136|19.430267800000003,-99.1373136|2.183255959808334 km
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|7000|1|1.0|71|19.430267800000006|-99.1373136|19.430267800000003,-99.1373136|2.183255959808334 km
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|4500|2|1.0|61|19.430267800000006|-99.1373136|19.430267800000003,-99.1373136|2.183255959808334 km
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|6500|2|1.0|59|19.430267800000006|-99.1373136|19.430267800000003,-99.1373136|2.183255959808334 km
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|14000|2|2.0|60|19.430267800000006|-99.1373136|19.430267800000003,-99.1373136|2.183255959808334 km
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|8500|2|1.0|72|19.430267800000006|-99.1373136|19.430267800000003,-99.1373136|2.183255959808334 km
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|4500|2|1.0|61|19.430267800000006|-99.1373136|19.430267800000003,-99.1373136|2.183255959808334 km
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|9000|2|1.0|65|19.430267800000006|-99.1373136|19.430267800000003,-99.1373136|2.183255959808334 km
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|7000|1|1.0|71|19.430267800000006|-99.1373136|19.430267800000003,-99.1373136|2.183255959808334 km
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|4500|2|1.0|61|19.430267800000006|-99.1373136|19.430267800000003,-99.1373136|2.183255959808334 km
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|6500|2|1.0|59|19.430267800000006|-99.1373136|19.430267800000003,-99.1373136|2.183255959808334 km
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|14000|2|2.0|60|19.430267800000006|-99.1373136|19.430267800000003,-99.1373136|2.183255959808334 km
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|8500|2|1.0|72|19.430267800000006|-99.1373136|19.430267800000003,-99.1373136|2.183255959808334 km
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|4500|2|1.0|61|19.430267800000006|-99.1373136|19.430267800000003,-99.1373136|2.183255959808334 km
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|9000|2|1.0|65|19.430267800000006|-99.1373136|19.430267800000003,-99.1373136|2.183255959808334 km
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|7000|1|1.0|71|19.430267800000006|-99.1373136|19.430267800000003,-99.1373136|2.183255959808334 km
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|4500|2|1.0|61|19.430267800000006|-99.1373136|19.430267800000003,-99.1373136|2.183255959808334 km
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|6500|2|1.0|59|19.430267800000006|-99.1373136|19.430267800000003,-99.1373136|2.183255959808334 km
  Heriberto Frias 544, Narvarte, Benito Juárez, Distrito Federal (cdmx)|6000|1|1.0|20|19.3924579|-99.15970190000002|19.3924579,-99.15970190000002|3.418253923981184 km
  Manuel Toissaint 60, Coyoacán, Distrito Federal (cdmx)|5300|2|1.0|40|19.3477033|-99.1556963|19.3477033,-99.1556963|7.368095740119492 km
  Juan Alvarez 54, La Magdalena Contreras, Distrito Federal (cdmx)|7500|1|1.0|40|19.3015674|-99.23521459999999|19.3015674,-99.2352146|16.13776897869821 km
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|14000|2|2.0|60|19.430267800000006|-99.1373136|19.430267800000003,-99.1373136|2.183255959808334 km
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|8500|2|1.0|72|19.430267800000006|-99.1373136|19.430267800000003,-99.1373136|2.183255959808334 km
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|4500|2|1.0|61|19.430267800000006|-99.1373136|19.430267800000003,-99.1373136|2.183255959808334 km
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|9000|2|1.0|65|19.430267800000006|-99.1373136|19.430267800000003,-99.1373136|2.183255959808334 km
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|7000|1|1.0|71|19.430267800000006|-99.1373136|19.430267800000003,-99.1373136|2.183255959808334 km
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|4500|2|1.0|61|19.430267800000006|-99.1373136|19.430267800000003,-99.1373136|2.183255959808334 km
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|6500|2|1.0|59|19.430267800000006|-99.1373136|19.430267800000003,-99.1373136|2.183255959808334 km
  Cerrada Ferrocarril De Cuernavaca 779, Ampliación Granada, Ciudad De México|45000|2|3.0|113|19.4416222|-99.19989059999999|19.441622199999998,-99.1998906|7.752246275276483 km
  Privada Paseo De Los Tamarindos No.7, Bosques De Las Lomas, Cuajimalpa De Morelos|42500|3|5.0|290|19.391738600000004|-99.2503287|19.391738600000004,-99.2503287|12.44504299364883 km
  Revolución 1336, Guadalupe Inn, Álvaro Obregón, Distrito Federal (cdmx)|22000|2|2.0|102|19.3584367|-99.1894233|19.3584367,-99.1894233|8.252552262936566 km
  Juan Salvador Agraz 37, Santa Fe, Álvaro Obregón, Distrito Federal (cdmx)|29900|2|2.0|125|19.3601662|-99.2800525|19.3601662,-99.2800525|16.37876393234396 km
  Residencial San Angel 000, Colonia Olivar De Los Padres, Álvaro Obregón, Distrito Federal (cdmx)|13700|1|1.0|60|19.3373288|-99.214254|19.3373288,-99.214254|11.75183550000674 km
  Miguel De Cervantes Saavedra 303, Irrigación, Ciudad De México|47000|2|2.0|120|19.4404213|-99.2078269|19.4404213,-99.20782690000001|8.456638391529212 km
  Algeciras 38 -301, Insurgentes Mixcoac, Benito Juárez, Distrito Federal (cdmx)|22500|3|3.0|150|19.3719604|-99.1809593|19.3719604,-99.1809593|6.582132920186325 km
  Calzada Desierto De Los Leones 4373, Tetelpan, Álvaro Obregón, Distrito Federal (cdmx)|23000|2|2.0|115|19.3462604|-99.2114751|19.3462604,-99.21147509999999|10.868265928656628 km
  Versalles 33, Juárez, Cuauhtémoc, Distrito Federal (cdmx)|22000|2|2.0|110|19.4309996|-99.1546154|19.4309996,-99.15461540000001|3.138539470410308 km
  Calzada De Tlalpan 1434, Portales Oriente, Benito Juárez, Distrito Federal (cdmx)|18000|2|2.0|90|19.3665135|-99.1418422|19.3665135,-99.1418422|4.985999838750893 km
  Popocatépetl 000, Xoco, Benito Juárez, Distrito Federal (cdmx)|22000|2|2.0|83|19.3650397|-99.1637713|19.3650397,-99.1637713|5.983037130964557 km
  Bucareli 128, Zona Centro, Cuauhtémoc, Distrito Federal (cdmx)|38810|3|2.0|310|19.4286228|-99.1522547|19.4286228,-99.1522547|2.7771653689432996 km
  Ejercito Nacional 453, 200, Ampliación Granada, Miguel Hidalgo, Distrito Federal (cdmx)|35000|3|3.0|115|19.438313|-99.1884775|19.438313,-99.1884775|6.517566818462378 km
  Luz Saviñon 206, Del Valle, Benito Juárez, Distrito Federal (cdmx)|25000|2|2.0|110|19.393463|-99.1703045|19.393463,-99.1703045|4.312335234608164 km
  Calzada México Tacuba 1501, Argentina Poniente, Miguel Hidalgo, Distrito Federal (cdmx)|9500|2|1.0|58|19.4555037|-99.2112174|19.455503699999998,-99.21121740000001|9.534189898272478 km
  Eugenia 606, Del Valle Centro, Benito Juárez, Distrito Federal (cdmx)|24500|2|2.0|68|19.3878637|-99.168406|19.3878637,-99.168406|4.457599836276397 km
  Retorno Arrecife 15, Las Águilas, Álvaro Obregón, Distrito Federal (cdmx)|9500|2|1.0|75|19.34948|-99.219988|19.34948,-99.219988|11.339481776546467 km
  Paseo De La Reforma 439, Cuauhtémoc, Cuauhtémoc, Distrito Federal (cdmx)|65000|1|2.0|120|19.4256497|-99.1723516|19.4256497,-99.1723516|4.389148999321045 km
  Laguna De Mayrán 375, Colonia Anahuac I Sección, Miguel Hidalgo, Distrito Federal (cdmx)|19000|2|2.0|82|19.4401814|-99.1770569|19.4401814,-99.1770569|5.602203856557515 km
  Adolfo Lopez Mateos 5146, Pedregal De Carrasco, Coyoacán, Distrito Federal (cdmx)|23000|2|2.0|104|19.3038209|-99.1770675|19.303820899999998,-99.1770675|12.700188043351174 km
  General Emiliano Zapata 360, Santa Cruz Atoyac, Benito Juárez, Distrito Federal (cdmx)|16000|2|2.0|78|19.3676607|-99.160102|19.3676607,-99.160102|5.53537246643508 km
  Toltecas 166, Carola, Álvaro Obregón, Distrito Federal (cdmx)|11000|3|2.0|70|19.3872822|-99.1917223|19.387282199999998,-99.1917223|6.642404917447795 km
  Av Centenario 1762, Ciudad De México, Distrito Federal (cdmx)|16500|1|1.0|50|19.3487381|-99.2524181|19.348738100000002,-99.2524181|14.25365383992397 km
  Romulo Oarril 520, Colonia Olivar De Los Padres, Álvaro Obregón, Distrito Federal (cdmx)|16500|2|2.0|77|19.3377623|-99.2145908|19.3377623,-99.2145908|11.744255007244492 km
  Iglesia 270, Tizapan, Álvaro Obregón, Distrito Federal (cdmx)|29000|3|2.0|130|19.3362518|-99.1996626|19.3362518,-99.1996626|10.790083624845458 km
  Av. De Las Torres 805, 407, Torres De Potrero, Álvaro Obregón, Distrito Federal (cdmx)|18000|2|2.0|70|19.3342999|-99.2399338|19.334299899999998,-99.2399338|14.024579986843845 km
  Presa Falcón 243, Ph1, Ampliación Granada, Miguel Hidalgo, Distrito Federal (cdmx)|50000|2|3.0|220|19.4435717|-99.204573|19.4435717,-99.204573|8.288801110202801 km
  En Renta Excelente Departamento En Privada De Tamarindos 29, Bosques De Las Lomas, Cuajimalpa De Morelos, Distrito Federal, Bosques De Las Lomas, Cuajimalpa De Morelos|26000|2|2.0|160|19.3845775|-99.25296329999999|19.3845775,-99.2529633|12.873825526913665 km
  Av Sta Fe 482, Santa Fe Cuajimalpa, Cuajimalpa De Morelos|22000|1|2.0|87|19.3590523|-99.2702192|19.359052300000002,-99.2702192|15.457778759052475 km
  Paseo De La Reforma 77, Tabacalera, Cuauhtémoc, Distrito Federal (cdmx)|32750|1|2.0|99|19.4336999|-99.1550421|19.433699899999997,-99.1550421|3.3870526833708325 km
  Ave. San Bernabe 655, San Jerónimo Lídice, Ciudad De México|16000|2|2.0|110|19.3295992|-99.2291858|19.3295992,-99.2291858|13.484244201618576 km
  Tomas Alva Edison 101, Tabacalera, Cuauhtémoc, Distrito Federal (cdmx)|22000|2|2.0|100|19.4377336|-99.1547865|19.4377336,-99.1547865|3.7159474519023514 km
  Av. Carlos Lazo 100, San Mateo Tlaltenango, Cuajimalpa De Morelos|78000|3|4.0|320|19.3482367|-99.2605663|19.3482367,-99.2605663|15.034612344411522 km
  Prol. Paseo De La Reforma 100, Santa Fe, Álvaro Obregón, Distrito Federal (cdmx)|17500|2|2.0|65|19.3826922|-99.247635|19.382692199999997,-99.247635|12.38026834918485 km
  Prolong. Bosques De Reforma 1455, 202, Bosques De Las Lomas, Cuajimalpa De Morelos|45000|3|4.0|420|19.3878909|-99.2631725|19.3878909,-99.2631725|13.848378960743736 km
  Dr. Barragan 850, Narvarte, Benito Juárez, Distrito Federal (cdmx)|22500|3|2.0|117|19.388557|-99.1479978|19.388557000000002,-99.1479978|2.8973235056486573 km
  Ejercito Nacional 1, Colonia Anahuac I Sección, Miguel Hidalgo, Distrito Federal (cdmx)|26300|2|2.0|95|19.4325493|-99.17277469999999|19.4325493,-99.1727747|4.7655925912567545 km
  Javier Barros Sierra 245, Lomas De Santa Fe, Ciudad De México|29000|3|3.0|145|19.373375|-99.2534416|19.373375,-99.2534416|13.257610990883132 km
  Ramos Millan 49, 0, Américas Unidas, Benito Juárez, Distrito Federal (cdmx)|25000|3|3.0|164|19.3832219|-99.1417738|19.3832219,-99.1417738|3.1791081132392085 km
  Av. Toluca 669 Olivar De Los Padres, Álvaro Obregón, Distrito Federal (cdmx)|16500|2|2.0|83|19.3375567|-99.2242857|19.337556699999997,-99.22428570000001|12.516827493198239 km
  Cacahuatales 20, Gabriel Ramos Millán, Iztacalco|10500|2|1.0|60|19.3007538|-99.1177779|19.3007538,-99.11777790000001|12.3015720129814 km
  Lago Alberto 300, Colonia Anahuac I Sección, Miguel Hidalgo, Distrito Federal (cdmx)|26000|2|2.0|93|19.4400628|-99.18302659999999|19.4400628,-99.1830266|6.117094012036179 km
  Lago Alberto 300, Colonia Anahuac I Sección, Miguel Hidalgo, Distrito Federal (cdmx)|18000|1|1.0|52|19.4400628|-99.18302659999999|19.4400628,-99.1830266|6.117094012036179 km
  Lomas De Sotelo 1120, Edificio C - 302, Lomas De Sotelo, Miguel Hidalgo, Distrito Federal (cdmx)|14000|3|3.0|100|19.4459977|-99.2163303|19.4459977,-99.2163303|9.521445501126705 km
  Calz Tlalpan 2971, Coyoacán, Distrito Federal (cdmx)|20000|4|3.0|129|19.324816100000003|-99.1383462|19.324816100000003,-99.1383462|9.538697699843398 km
  Sinaloa No. 179 Roma Norte, Roma Norte, Cuauhtémoc, Distrito Federal (cdmx)|21000|2|2.0|70|19.4198868|-99.1720176|19.4198868,-99.1720176|4.1593025633703125 km
  Golfo De San Jorge 37 Tacuba Miguel Hidalgo, Tacuba, Miguel Hidalgo, Distrito Federal (cdmx)|12000|2|2.0|69|19.4546276|-99.1863144|19.454627600000002,-99.18631440000001|7.358188834252988 km
  Lomas De Sotelo 1120, Edificio C, Lomas De Sotelo, Miguel Hidalgo, Distrito Federal (cdmx)|14300|3|2.0|110|19.4459977|-99.2163303|19.4459977,-99.2163303|9.521445501126705 km
  Culiacan 1, Ph, Hipódromo Condesa, Cuauhtémoc, Distrito Federal (cdmx)|38000|2|3.0|143|19.4085807|-99.1714436|19.4085807,-99.1714436|3.9855688061420693 km
  José María Rico 118, Actipan, Benito Juárez, Distrito Federal (cdmx)|24000|2|3.0|120|19.3688957|-99.1780302|19.3688957,-99.17803020000001|6.587399310106082 km
  Av. Coyoacán 635, Del Valle, Benito Juárez, Distrito Federal (cdmx)|26000|4|2.0|140|19.3883617|-99.1669628|19.3883617,-99.16696280000001|4.301880089138042 km
  Andrea Del Castagno 79, Mixcoac, Benito Juárez, Distrito Federal (cdmx)|24200|2|2.0|87|19.3836295|-99.191079|19.3836295,-99.191079|6.751018638586238 km
  Sur 109, Iztacalco, Distrito Federal (cdmx)|10000|2|1.0|100|19.379658300000006|-99.1279424|19.379658300000003,-99.12794240000001|3.504958458211645 km
  Paseo De La Reforma 0, Zona Centro, Cuauhtémoc, Distrito Federal (cdmx)|90000|1|2.0|120|19.4382486|-99.1457945|19.4382486,-99.1457945|3.291614200403532 km
  Lago Neuchatel 10, Granada, Miguel Hidalgo, Distrito Federal (cdmx)|29200|3|2.0|125|19.4423271|-99.20165159999999|19.4423271,-99.2016516|7.952661528136879 km
  Avenida San Miguel 40, Xalpa, Ciudad De México|8500|2|2.0|100|19.332842000000007|-99.0320843|19.332842000000003,-99.0320843|13.721473734399105 km
  Uxmal 00, Santa Cruz Atoyac, Benito Juárez, Distrito Federal (cdmx)|19000|2|2.0|85|19.3722303|-99.1587114|19.372230300000002,-99.1587114|5.0263920446582775 km
  Calzada San Isidro 492 San Pedro Xalpa, Azcapotzalco, Cdmx, San Pedro Xalpa, Azcapotzalco, Distrito Federal (cdmx)|11500|3|2.0|90|19.4841904|-99.2065419|19.4841904,-99.2065419|11.162011088441993 km
  Popocatepetl 00, Santa Cruz Atoyac, Benito Juárez, Distrito Federal (cdmx)|19000|2|2.0|86|19.3642068|-99.16079090000001|19.3642068,-99.1607909|5.903599857926502 km
  Lago Zurich 168, 0, Granada, Miguel Hidalgo, Distrito Federal (cdmx)|26000|2|2.0|100|19.4448159|-99.20263890000001|19.4448159,-99.2026389|8.168980116068807 km
  Sierra Gorda 23, Torre Encinos - G3, Lomas De Chapultepec, Miguel Hidalgo, Distrito Federal (cdmx)|116430|3|3.0|352|19.4279636|-99.221941|19.4279636,-99.221941|9.471803468997715 km
